DATA_ID,PRED_ID,LOC_ID,STA_ID,STA_NUM,STA_NAME,STA_TYPE,COORD_DATA_SOURCE,TIME_ZONE,START_STAT_LAT,START_STAT_LONG,START_STAT_DEP,START_STAT_SAMP_DEP,START_YEAR,START_MON,START_DAY,START_TIME,START_SEAS,END_STAT_LAT,END_STAT_LONG,END_STAT_DEP,END_STAT_SAMP_DEP,END_YEAR,END_MON,END_DAY,END_TIME,END_SEAS,REALM,PROVINCE,ECOREGION,HAB_SYSTEM,HAB_SUBSYSTEM,TIDAL_ZONE,SYS_CONF,STA_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_6G,Cfab.60,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,102,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.61,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,103,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.62,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,104,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.63,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,105,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.64,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,106,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_5L,Ppor.1,,,,Off A.P. 3,,,,27.49,97,5.5,NA,1964,8,,,,NA,NA,NA,NA,1965,11,,,,TNA,WTNA,43,MARINE,OFFSHORE,SUBTIDAL,NA,,06/07/17,Michelle Abascal,10/07/17,James Simons,,
ACT_5L,Ppor.1,,,,W 53,,,,29.16,94.47,7.3,NA,1964,8,,,,NA,NA,NA,NA,1965,11,,,,TNA,WTNA,43,MARINE,OFFSHORE,SUBTIDAL,NA,,06/07/17,Michelle Abascal,10/07/17,James Simons,,
ACT_5L,Ppor.1,,,,W 55,,,,29.03,95.07,7.3,NA,1964,8,,,,NA,NA,NA,NA,1965,11,,,,TNA,WTNA,43,MARINE,OFFSHORE,SUBTIDAL,NA,,06/07/17,Michelle Abascal,10/07/17,James Simons,,
ACT_5L,Ppor.1,,,,W 56,,,,28.24,96.21,7.3,NA,1964,8,,,,NA,NA,NA,NA,1965,11,,,,TNA,WTNA,43,MARINE,OFFSHORE,SUBTIDAL,NA,,06/07/17,Michelle Abascal,10/07/17,James Simons,,
ACT_5L,Ppor.1,,,,W 59,,,,27.57,96.54,7.3,NA,1964,8,,,,NA,NA,NA,NA,1965,11,,,,TNA,WTNA,43,MARINE,OFFSHORE,SUBTIDAL,NA,,06/07/17,Michelle Abascal,10/07/17,James Simons,,
